Random1
First layer
0.12983749329034783+3.316004464941752: -5.551115123125783e-17
-21.511795798505602+48.3604270640667: 0.0
-12.837250235537446+-17.668226897914412: 0.0
40.768562132911995+-0.07525064622466067: -6.245004513516506e-16
-33.00284796079606+0.7144380322942202: 1.887379141862766e-15
0.013313247196176863+-11.476564511063982: 3.157196726277789e-16
-35.389189181628375+-0.7842839841805004: -2.9976021664879227e-15
-30.50547713345186+10.462213278852575: -1.7763568394002505e-15
-32.28840992850184+-45.30509436204101: 0.0
-50.97813460181555+28.001656357625755: 0.0
26.848631265561096+6.01573926497801: 8.881784197001252e-16
-77.59350429054285+-5.60614065521954: -6.217248937900877e-15
40.693311486687335+27.174117354913108: 0.0
-20.04326385459928+-36.17347316580887: 0.0
17.366094042746056+2.439222769543753: -8.881784197001252e-16
29.632036715048685+3.4458419582321: -1.3322676295501878e-15
-13.876899440467342+0.44475987948648144: 1.1102230246251565e-16
-56.216737020408154+-13.432139560980861: 3.552713678800501e-15
-62.73626363817763+67.86742884160044: 0.0
5.126612055940079+-11.463251263867805: 0.0
9.75117034834648+19.80531681228981: 0.0
5.13116520342281+-19.425005446337487: 0.0
-22.976478244189792+-6.3366392079277265: -1.7763568394002505e-15
-29.313117452117517+29.55648716063629: 0.0
0.24336970851877382+33.077878673280786: -3.552713678800501e-15
-14.293840242914676+-69.64887658138902: -7.105427357601002e-15
-83.94271682430369+-83.19964494576239: 1.4210854715202004e-14
16.521382446056457+13.302125975382985: 0.0
33.32124838179956+-10.90410545829749: 0.0
-167.1423617700661+22.417142923502073: 3.552713678800501e-15
32.864370530539105+29.823508421439442: 0.0
62.68787895197855+-1.5917777263040453: -4.440892098500626e-16
-12.162391941073171+61.0961012256745: -3.552713678800501e-15
-144.72521884656402+48.933709284601335: 0.0
-2.132546504815715+55.96375306267415: -8.881784197001252e-16
5.508352290821928+1.5310072833016215: -4.440892098500626e-16
0.011512099680180937+44.04597090809702: -1.1379786002407855e-15
-41.15083422613816+-35.88546272813681: 7.105427357601002e-15
4.140652027051422+4.137832894367923: 0.0
-4.90669265060442+-9.294696245075055: 0.0
-7.504890164924756+-4.454543788794391: 0.0
0.6208892640668306+-29.498581474449153: -1.7763568394002505e-15
15.798159632050313+42.07883830295777: -1.7763568394002505e-15
-1.4484647491831553+24.10911107998266: 6.661338147750939e-16
10.929461785559122+-72.27263256957784: 1.7763568394002505e-15
-28.87769221038232+9.561496401806249: 0.0
-0.24826447650944014+-9.534675106166121: 4.718447854656915e-16
12.35993899275994+-0.9176830123459863: -4.440892098500626e-16
-4.254011653990065+8.553516330102621: 0.0
23.626362143056426+3.4976362797239666: 0.0
-9.782939582675562+-5.162640279970147: -8.881784197001252e-16
-43.82749414106924+-2.083178411767403: 3.1086244689504383e-15
27.123998422780392+-8.132428057361334: 0.0
-11.505174859340627+-27.022153106030196: 0.0
4.897428304737169+18.991570365419058: 8.881784197001252e-16
14.077781246576967+-54.614972631058: -1.7763568394002505e-15
-14.018277489860345+-19.457556399076665: 0.0
-22.763729925629427+-22.797490612682427: 3.552713678800501e-15
24.730809024874112+-5.2647294061514485: 8.881784197001252e-16
-17.989179118084127+29.990118952833594: 0.0
-15.405973786404584+21.785026662489553: 0.0
2.53679660129011+-1.283523864309996: 0.0
0.13352767892659417+16.114132996422846: 1.6653345369377348e-16
-60.259340176056405+1.6175388754410804: 2.886579864025407e-15
-26.986118457473022+-22.989256509829758: 3.552713678800501e-15
22.660646330799505+-1.621301552281501: 2.220446049250313e-16
-14.194033949800094+29.099625087423483: 0.0
-40.537191384481034+0.12854558911634698: -2.4147350785597155e-15
-49.975374967302784+4.299504676112556: 8.881784197001252e-16
57.876997935008085+1.8820139929850135: -2.220446049250313e-15
22.586564891234396+16.20014450149185: 0.0
-77.03629695427497+8.87643380969108: 1.7763568394002505e-15
-11.959433953719147+44.0574830077772: 1.7763568394002505e-15
-19.316195808576072+6.405195777455563: -8.881784197001252e-16
-56.68760010954744+-1.0834897147863616: -1.5543122344752192e-15
-57.7710898243338+-3.489501108855698: 4.440892098500626e-16
32.09804905405805+-38.52732796537082: 0.0
-14.945579862645708+24.206709415812036: 0.0
-10.743310987429947+-45.214503283548545: -3.552713678800501e-15
30.150837904367414+-61.34317078401872: 0.0
-15.989825373922496+-45.910672552836644: 3.552713678800501e-15
10.666054868462183+-61.900497926759144: 0.0
-1.9638334537720783+1.420680568117582: 0.0
-68.1598631445839+-25.835032078922847: 3.552713678800501e-15
-51.23444305829696+19.466079618722663: 0.0
1.253272736980114+-31.192332879651303: -1.1102230246251565e-15
-12.911000031120508+-6.145929802887759: -1.7763568394002505e-15
-33.47583388893701+18.547655603313018: 0.0
21.039344778518004+-25.958908240073743: 0.0
-40.408645795364684+-0.08352394633118948: 1.27675647831893e-15
0.4883835257360374+18.38388236666114: 6.661338147750939e-16
-11.10747021801946+-17.972624428045695: 1.7763568394002505e-15
53.83120655785844+-10.431554229379154: -1.7763568394002505e-15
12.000939834749467+-8.309923168598015: 0.0
-31.768363439574298+-0.21582638504770651: -9.43689570931383e-16
18.872265892397177+-58.64180130061533: -3.552713678800501e-15
7.03935957412355+4.0733266328999775: 0.0
38.786709392726245+-19.056929834008265: 0.0
6.37905287608497+-14.897113462514493: 0.0
9.404785546278953+36.521757033556746: 1.7763568394002505e-15
-4.373090807963896+-61.2605909331895: 1.7763568394002505e-15
2.4897813327393905+6.553866338444908: -8.881784197001252e-16
35.77985504015316+-29.15277488819239: 0.0
-40.492169741695875+-1.193181442754231: -4.440892098500626e-16
19.72977955871798+-8.728035695368717: 0.0
59.7590119279931+-14.928178285623993: 0.0
-8.518060586429524+-4.13974189418251: 0.0
25.050312034490208+-93.99489522350675: 3.552713678800501e-15
6.627080151960769+-45.56122053831186: 0.0
23.888998670156226+43.399652328479284: -7.105427357601002e-15
-48.051134969540044+4.7985255534141835: 3.552713678800501e-15
8.278484921419345+16.24766067534944: 0.0
11.112686207023527+67.28865099863552: -1.7763568394002505e-15
-41.685351184450106+-68.94458318901654: 7.105427357601002e-15
3.6910166661514516+-45.67587029119023: 3.552713678800501e-15
9.261129553166327+-29.080094646065156: 0.0
-29.939060142671188+-14.201388895679475: 3.552713678800501e-15
-9.048085460480543+-7.9936368616577225: 8.881784197001252e-16
-44.14044903835067+-0.5431528856544963: -3.3306690738754696e-15
-12.657802480612034+-16.06901943094009: 0.0
-17.041722322138266+-39.76953540821815: 3.552713678800501e-15
78.40133720565905+45.9265425798357: 0.0
-110.62993437346665+-65.6336817411534: 0.0
-28.726821911552125+14.90559113762339: 0.0
-24.605818967620284+1.8273733944544832: 2.220446049250313e-16
9.816756630872783+-10.50573248150026: 0.0
-13.821230773928736+9.0436476711843: 0.0
